species,genus,family,stomatal density,Stomatal length/size,plant functional group/1-tree/2-shrub/3-herb
Camellia_forrestii,Camellia,Theaceae,92.87925697,35.20333,2
Prunus_wilsonii,Prunus,Rosaceae,178.878569,16.74227893,1
Magnolia_floribunda,Magnolia,Magnoliaceae,385.2769178,22.194597,1
Schima_noronhae,Schima,Theaceae,664.6026832,22.7961868,1
Ilex_polyneura,Ilex,Aquifoliaceae,209.8383213,23.46321433,1
Fargesia_wuliangshanensis,Fargesia,Poaceae,30.95975232,23.8169,1
Tetrastigma_serrulatum,Tetrastigma,Vitaceae,244.2380461,21.08928923,3
Polygala_arillata,Polygala,Polygalaceae,278.6377709,18.84815567,3
Gynostemma_pentaphyllum,Gynostemma,Cucurbitaceae,89.43928449,21.03075364,3
Heterosmilax_yunnanensis,Heterosmilax,Smilacaceae,165.1186791,17.106323,2
Rubia_podantha,Rubia,Rubiaceae,44.71964224,41.50755333,3
Swertia_macrosperma,Swertia,Gentianaceae,319.9174407,23.41468241,3
Jasminum_urophyllum,Jasminum,Oleaceae,99.75920193,15.71291,2
Ophiopogon_intermedius,Ophiopogon,Asparagaceae,171.998624,18.51716815,3
Melissa_axillaris,Melissa,Lamiaceae,128.998968,20.70004625,3
Clethra_delavayi,Clethra,Clethraceae,92.87925697,27.3843515,2
Machilus_yunnanensis,Machilus,Lauraceae,107.3271414,15.366542,1
Alnus_nepalensis,Alnus,Betulaceae,199.5184039,24.37486321,1
Lithocarpus_pachyphyllus,Lithocarpus,Fagaceae,230.4781562,30.673652,1
Ilex_corallina,Ilex,Aquifoliaceae,294.1176471,38.77941667,2
Rubus_wallichianus,Rubus,Rosaceae,866.873065,14.62971,2
Betula_alnoides,Betula,Betulaceae,141.0388717,24.92881444,1
Symplocos_sumuntia,Symplocos,Symplocaceae,337.1173031,31.12881067,1
Meliosma_kirkii,Meliosma,Sabiaceae,86.6873065,28.43084375,1
Prunus_cerasoides,Prunus,Rosaceae,192.6384589,24.63140231,1
Marsdenia_koi,Marsdenia,Apocynaceae,116.9590643,31.3111276,2
Rhododendron_decorum,Rhododendron,Ericaceae,192.6384589,28.93324759,2
Elaeocarpus_japonicus,Elaeocarpus,Elaeocarpaceae,199.5184039,17.83366276,1
Hydrangea_anomala,Hydrangea,Hydrangeaceae,515.995872,20.38566667,3
Tetrastigma_serrulatum,Tetrastigma,Vitaceae,361.1971104,17.8506695,3
Ilex_szechwanensis,Ilex,Aquifoliaceae,295.8376333,36.388622,2
Castanopsis_wattii,Castanopsis,Fagaceae,229.1021672,23.91535079,1
Lindera_thomsonii,Lindera,Lauraceae,NA,NA,1
Schefflera_shweliensis,Schefflera,Araliaceae,NA,NA,1
Viburnum_cylindricum,Viburnum,Adoxaceae,NA,NA,2
Actinidia_callosa,Actinidia,Actinidiaceae,NA,NA,3
Rhododendron_leptothrium,Rhododendron,Ericaceae,436.876505,24.682361,2
Ternstroemia_gymnanthera,Ternstroemia,Pentaphylacaceae,251.1179911,24.96443033,2
